Ticker,Price,MA50,MA_Diff_%,RSI14,Score,Signal,Rank
AXISBANK.NS,1311.5,1275.9,2.79,56.07,0.4,👍 BUY,1
HCLTECH.NS,1676.8,1651.09,1.56,55.28,0.4,👍 BUY,2
TCS.NS,3169.6,3159.56,0.32,48.8,0.0,➖ HOLD,3
INFY.NS,1629.4,1617.8,0.72,57.94,0.0,➖ HOLD,4
HDFCBANK.NS,928.1,971.39,-4.46,43.33,-0.4,⛔ SELL,5
LT.NS,3921.3,3996.13,-1.87,41.23,-0.4,⛔ SELL,6
DRREDDY.NS,1182.5,1241.79,-4.77,42.38,-0.4,⛔ SELL,7
RELIANCE.NS,1390.4,1508.06,-7.8,22.25,-0.7,⛔ SELL,8
ICICIBANK.NS,1352.8,1375.21,-1.63,34.01,-0.7,⛔ SELL,9
KOTAKBANK.NS,408.2,426.58,-4.31,32.41,-0.7,⛔ SELL,10
WIPRO.NS,242.3,250.28,-3.19,37.82,-0.7,⛔ SELL,11
BAJAJFINSV.NS,1930.1,2025.57,-4.71,37.06,-0.7,⛔ SELL,12
MARUTI.NS,14384.0,16154.56,-10.96,13.68,-0.7,⛔ SELL,13
BHARTIARTL.NS,1965.4,2070.14,-5.06,15.22,-0.7,⛔ SELL,14
SUNPHARMA.NS,1627.9,1735.15,-6.18,28.8,-0.7,⛔ SELL,15
